"fecha_siniestro","monto_siniestro"
abr. 2010,0.498
abr. 2010,0.376
abr. 2010,0.497
abr. 2010,0.328
abr. 2010,0.608
abr. 2010,0.496
abr. 2010,0.306
may. 2010,0.887
may. 2010,0.316
may. 2010,0.372
may. 2010,0.356
may. 2010,0.48
jun. 2010,0.328
jun. 2010,0.346
jun. 2010,0.302
jun. 2010,0.597
jun. 2010,0.438
jul. 2010,0.762
jul. 2010,0.331
jul. 2010,0.49
jul. 2010,0.896
jul. 2010,1.136
jul. 2010,0.341
ago. 2010,0.542
ago. 2010,0.353
ago. 2010,0.38
ago. 2010,0.629
sep. 2010,0.39
sep. 2010,0.334
sep. 2010,0.424
oct. 2010,0.513
oct. 2010,0.49
oct. 2010,0.329
oct. 2010,0.333
oct. 2010,0.377
oct. 2010,2.214
oct. 2010,0.316
oct. 2010,0.411
oct. 2010,0.568
oct. 2010,0.556
nov. 2010,0.302
nov. 2010,0.329
nov. 2010,0.571
dic. 2010,0.322
ene. 2011,0.631
ene. 2011,0.682
ene. 2011,0.962
ene. 2011,0.311
feb. 2011,0.373
feb. 2011,0.54
feb. 2011,0.301
feb. 2011,0.825
feb. 2011,0.526
feb. 2011,0.33
mar. 2011,0.31
mar. 2011,0.386
mar. 2011,0.308
mar. 2011,0.308
abr. 2011,0.305
abr. 2011,0.381
abr. 2011,0.861
abr. 2011,3.225
abr. 2011,0.373
abr. 2011,0.395
may. 2011,0.364
may. 2011,0.538
may. 2011,0.99
may. 2011,0.39
jun. 2011,0.488
jun. 2011,0.399
jun. 2011,0.42
jun. 2011,0.825
jun. 2011,0.376
jul. 2011,0.434
ago. 2011,0.408
ago. 2011,0.463
ago. 2011,0.463
sep. 2011,1.171
sep. 2011,0.63
sep. 2011,0.467
sep. 2011,0.324
sep. 2011,0.313
sep. 2011,0.575
oct. 2011,1.135
oct. 2011,0.349
oct. 2011,0.457
oct. 2011,0.341
oct. 2011,1.71
oct. 2011,0.996
oct. 2011,0.53
nov. 2011,0.545
nov. 2011,0.377
nov. 2011,0.474
nov. 2011,0.367
nov. 2011,0.316
nov. 2011,0.377
nov. 2011,0.557
nov. 2011,1.075
nov. 2011,0.44
dic. 2011,0.311
dic. 2011,0.406
dic. 2011,0.561
dic. 2011,0.362
dic. 2011,0.588
ene. 2012,0.3
ene. 2012,0.389
ene. 2012,0.429
ene. 2012,3.148
ene. 2012,0.747
ene. 2012,0.501
ene. 2012,0.666
feb. 2012,0.313
feb. 2012,0.732
feb. 2012,1.784
feb. 2012,0.906
feb. 2012,0.359
mar. 2012,0.384
mar. 2012,0.44
mar. 2012,0.312
mar. 2012,0.395
mar. 2012,0.381
abr. 2012,0.372
abr. 2012,0.587
abr. 2012,0.918
may. 2012,0.363
may. 2012,0.418
may. 2012,0.681
may. 2012,0.852
jun. 2012,0.333
jun. 2012,0.538
jun. 2012,0.505
jun. 2012,0.37
jun. 2012,0.309
jun. 2012,0.322
jul. 2012,1.191
jul. 2012,0.599
jul. 2012,0.307
jul. 2012,0.353
jul. 2012,0.495
jul. 2012,0.322
ago. 2012,0.306
ago. 2012,0.418
ago. 2012,0.339
ago. 2012,0.431
sep. 2012,0.35
sep. 2012,0.324
sep. 2012,0.339
sep. 2012,0.327
sep. 2012,0.416
sep. 2012,0.395
sep. 2012,1.165
oct. 2012,0.35
oct. 2012,0.656
